Id,Group,class,invCnt,greens,reds,controv,other_ms_ada,own_ms_ada,winning,comparaison_ada,sim_ada,n_tokens,own_ms_use,other_ms_use,sim_use
118,B,Controversial,10,7,5,2.513671875,211,7,0,Own,0.819365116,34,136,200,0.360727072
126,B,Controversial,14,10,6,2.077270508,39,197,0,Other,0.825534636,40,197,174,0.407687634
126,B,Controversial,14,10,6,2.077270508,39,197,0,Own,0.86576835,40,197,174,0.553283453
137,B,Low Priority,8,1,9,0.107421383,150,76,0,Other,0.844427203,35,193,149,0.393362522
137,B,Low Priority,8,1,9,0.107421383,150,76,0,Own,0.88240146,35,193,149,0.450089216
157,B,High Priority,20,18,5,0.096270561,120,21,0,Other,0.838845481,18,110,120,0.327531576
157,B,High Priority,20,18,5,0.096270561,120,21,0,Own,0.833232024,18,110,120,0.349551618
203,B,Low Priority,20,3,26,0.000204,163,160,0,Other,0.839260676,35,193,40,0.432174325
203,B,Low Priority,20,3,26,0.000204,163,160,0,Own,0.856348278,35,193,40,0.523829222
6,B,Controversial,13,6,9,2.443847656,48,178,1,Other,0.824014494,31,178,48,0.355078369
6,B,Controversial,13,6,9,2.443847656,48,178,1,Own,0.826104069,31,178,48,0.369435251
8,B,Controversial,19,13,9,2.727665901,200,197,0,Other,0.860037812,49,10,200,0.484131634
8,B,Controversial,19,13,9,2.727665901,200,197,0,Own,0.838027013,49,10,200,0.427110732
9,B,High Priority,13,15,2,0.018676758,96,23,0,Other,0.862614277,56,7,96,0.455426246
9,B,High Priority,13,15,2,0.018676758,96,23,0,Own,0.838727356,56,7,96,0.388323426
10,B,Controversial,18,9,13,2.727665901,50,8,0,Other,0.858515961,41,8,50,0.460186243
10,B,Controversial,18,9,13,2.727665901,50,8,0,Own,0.830886474,41,8,50,0.427110732
16,B,High Priority,21,26,7,0.016909283,153,18,1,Other,0.901572941,22,22,153,0.522540212
16,B,High Priority,21,26,7,0.016909283,153,18,1,Own,0.860330418,22,22,153,0.348777413
18,B,High Priority,16,17,6,0.288811684,179,16,1,Other,0.86852173,40,22,155,0.503187537
18,B,High Priority,16,17,6,0.288811684,179,16,1,Own,0.860330418,40,22,155,0.432176471
23,B,Neutral,7,3,5,1.96875,150,21,0,Other,0.859559981,61,193,155,0.414921761
23,B,Neutral,7,3,5,1.96875,150,21,0,Own,0.860809298,61,193,155,0.482600659
24,B,Low Priority,25,5,28,0.000939,39,107,0,Other,0.838469555,23,107,154,0.374949157
24,B,Low Priority,25,5,28,0.000939,39,107,0,Own,0.880807702,23,107,154,0.430135727
28,B,High Priority,22,28,3,6.70E-05,155,23,0,Other,0.87546352,55,30,155,0.572197437
28,B,High Priority,22,28,3,6.70E-05,155,23,0,Own,0.857348846,55,30,155,0.47951144
30,B,Controversial,10,5,5,2.70703125,150,23,0,Other,0.855475118,91,28,111,0.459263563
30,B,Controversial,10,5,5,2.70703125,150,23,0,Own,0.834065547,91,28,111,0.47951144
31,B,High Priority,7,6,1,0.437498979,210,98,1,Other,0.849725796,38,193,46,0.380493701
31,B,High Priority,7,6,1,0.437498979,210,98,1,Own,0.840955007,38,193,46,0.424445719
76,B,Neutral,4,2,2,1.875,194,137,0,Other,0.870104013,45,137,194,0.490208358
76,B,Neutral,4,2,2,1.875,194,137,0,Own,0.88240146,45,137,194,0.433199048
79,B,Neutral,9,7,4,1.93359375,58,197,1,Other,0.835416725,31,197,121,0.335544735
79,B,Neutral,9,7,4,1.93359375,58,197,1,Own,0.857359613,31,197,121,0.429638267
95,B,Low Priority,14,2,15,0.018676758,48,6,0,Other,0.805410229,29,178,48,0.296158522
95,B,Low Priority,14,2,15,0.018676758,48,6,0,Own,0.763542634,29,178,48,0.315904081
98,B,High Priority,8,10,1,0.064452771,39,7,0,Other,0.923413255,38,208,39,0.61341393
98,B,High Priority,8,10,1,0.064452771,39,7,0,Own,0.869218812,38,208,39,0.412883162
102,B,High Priority,12,10,3,0.488769531,179,98,0,Other,0.881638573,29,128,179,0.499170482
102,B,High Priority,12,10,3,0.488769531,179,98,0,Own,0.854253298,29,128,179,0.426648021
105,B,High Priority,18,20,1,0.00022,43,98,0,Other,0.898354086,36,108,43,0.643764257
105,B,High Priority,18,20,1,0.00022,43,98,0,Own,0.826140478,36,108,43,0.36823386
107,B,Low Priority,43,9,52,4.66E-07,39,24,0,Other,0.847820738,24,126,64,0.379984677
107,B,Low Priority,43,9,52,4.66E-07,39,24,0,Own,0.880807702,24,126,64,0.452935457
108,B,High Priority,22,20,7,0.185257494,72,169,0,Other,0.824490175,28,169,72,0.368595064
108,B,High Priority,22,20,7,0.185257494,72,169,0,Own,0.845571563,28,169,72,0.446854055
110,B,High Priority,17,17,5,0.144405842,120,21,1,Other,0.816360479,74,157,155,0.383612275
110,B,High Priority,17,17,5,0.144405842,120,21,1,Own,0.835488348,74,157,155,0.349551618
113,B,Controversial,12,8,10,3.171546936,44,98,0,Other,0.827470293,38,182,44,0.354216099
113,B,Controversial,12,8,10,3.171546936,44,98,0,Own,0.826032411,38,182,44,0.36172539
123,B,Low Priority,8,0,9,0.019531323,74,18,0,Other,0.841133989,128,17,54,0.278429866
123,B,Low Priority,8,0,9,0.019531323,74,18,0,Own,0.808486586,128,17,54,0.316529363
127,B,Neutral,7,5,3,1.96875,39,17,0,Other,0.804270282,11,17,138,0.256886363
127,B,Neutral,7,5,3,1.96875,39,17,0,Own,0.786758042,11,17,138,0.208352447
128,B,Low Priority,31,5,35,2.45E-05,53,160,0,Other,0.865374988,75,21,150,0.465171576
128,B,Low Priority,31,5,35,2.45E-05,53,160,0,Own,0.85494801,75,21,150,0.652360618
129,B,Neutral,20,8,17,0.838069618,32,16,0,Other,0.84898284,77,160,75,0.439624429
